id,gender,age,study_year,program,employment_status,average_grade,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_days_week,pss_1_overwhelmed,pss_2_control_reverse,pss_3_nervous,pss_4_confident_reverse,ds_1_notifications,ds_2_pressure_reply,ds_3_information_overload,ds_4_multitasking,ds_5_sleep_disruption,ds_6_online_comparison,ams_1_enjoy_learning,ams_2_effort,ams_3_career_relevance,ams_4_persistence,ams_5_interest,who_1_cheerful,who_2_calm,who_3_active,who_4_rested,who_5_interested,ea_1_worry,ea_2_tension,ea_3_avoidance,ea_4_concentration_difficulty,academic_satisfaction,research_methods_confidence,help_seeking_intention,perceived_stress_score,digital_stress_score,academic_motivation_score,wellbeing_score,exam_anxiety_score
79,Female,21,1,Applied Psychology,Full-time,7.95,4.6,1.3,8.3,0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,5.0,3.0,4.0,2.0,3.0,1.0,,2.0,2.0,1.0,2.0,4.0,3.0,4.0,3.25,3.0,2.6,2.5,1.75
80,Female,24,2,Applied Psychology,Not employed,8.88,7.2,2.1,6.1,4,2.0,4.0,1.0,5.0,5.0,4.0,,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,1.5,4.0,5.0,4.4,2.25
81,Female,22,4,Psychology,Part-time,7.3,5.6,3.7,5.2,1,3.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.666666666666667,3.2,3.0,4.0
82,Male,20,4,Applied Psychology,Not employed,8.19,5.5,3.6,6.5,0,2.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,1.25,4.0,2.0,2.2,3.25
83,Female,20,4,Psychology,Not employed,7.34,6.1,4.2,7.4,1,3.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.25,4.166666666666667,2.4,3.0,4.0
84,Male,18,2,Applied Psychology,Full-time,7.65,5.8,2.7,7.2,2,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,3.25,1.6666666666666667,1.8,3.8,2.75
85,Male,20,3,Social Sciences,Not employed,8.14,4.8,0.8,7.2,1,4.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,1.8333333333333333,2.2,2.4,2.5
86,Female,18,1,Applied Psychology,Not employed,8.2,4.6,2.3,7.2,5,3.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.25,1.8333333333333333,1.2,2.8,3.0
87,Male,24,2,Applied Psychology,Not employed,8.45,7.0,3.9,5.8,2,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,1.0,3.25,3.5,1.6,1.2,4.0
88,Male,22,4,Applied Psychology,Not employed,8.49,3.5,2.0,7.5,0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,,3.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,2.5,1.6666666666666667,3.4,3.75,1.75
89,Male,24,2,Social Sciences,Full-time,10.0,6.0,2.2,5.4,1,1.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,,3.0,4.0,3.0,,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,3.75,3.75,2.25
90,Female,22,2,Social Sciences,Part-time,7.04,3.3,1.9,6.7,1,3.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,3.0,2.5,2.2,1.4,5.0
91,Female,23,5,Psychology,Part-time,7.64,5.3,2.9,7.0,3,3.0,2.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,3.75,3.6666666666666665,3.2,1.8,4.5
92,Male,20,2,Psychology,Not employed,8.45,6.5,3.8,6.3,2,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,5.0,2.25,3.5,4.0,4.4,1.75
93,Male,21,5,Applied Psychology,Not employed,7.62,4.3,2.2,8.3,2,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.25,2.6666666666666665,2.4,2.5,3.5
94,Prefer not to say,20,2,Applied Psychology,Not employed,8.79,3.7,1.4,7.2,2,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,1.6666666666666667,3.0,2.8,3.25
95,Female,22,3,Applied Psychology,Part-time,8.84,4.2,2.7,8.0,4,2.0,4.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,,,4.0,1.0,2.0,2.0,2.0,1.2,3.6,2.5
96,Female,21,2,Psychology,Not employed,7.01,6.5,3.6,6.5,1,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,1.4,1.0,5.0
97,Male,23,4,Applied Psychology,Not employed,6.89,2.9,2.2,6.5,1,4.0,1.0,5.0,3.0,3.0,2.0,3.0,,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,4.25,3.0,3.0,3.2,3.5
98,Male,18,2,Applied Psychology,Part-time,7.84,5.4,3.3,6.8,4,4.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.3333333333333335,2.8,3.8,3.25
99,Male,22,5,Psychology,Full-time,7.88,3.7,1.2,7.3,4,1.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,1.75,2.3333333333333335,5.0,4.0,2.5
100,Male,23,2,Psychology,Part-time,7.46,4.9,0.5,8.0,3,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,2.75,2.6666666666666665,1.2,2.4,3.25
101,Male,23,1,Psychology,Not employed,8.46,5.6,0.3,8.9,3,,5.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.1666666666666667,3.0,3.6,1.5
102,Female,23,1,Applied Psychology,Not employed,7.49,5.5,3.2,6.4,3,1.0,4.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,1.75,4.166666666666667,4.4,4.2,1.5
103,Male,21,2,Applied Psychology,Not employed,7.45,1.9,0.3,8.1,3,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,1.0,,5.0,3.0,4.0,2.5,1.0,3.0,4.6,2.0
104,Female,18,1,Social Sciences,Full-time,7.22,6.5,3.2,7.2,2,3.0,5.0,2.0,5.0,3.0,2.0,,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,,1.0,3.0,3.0,4.0,2.0,2.0,1.75,3.2,3.4,3.2,2.3333333333333335
105,Female,23,3,Applied Psychology,Not employed,8.78,3.6,2.9,5.3,4,4.0,3.0,2.0,,4.0,2.0,3.0,,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.4,4.8,3.25
106,Female,23,4,Applied Psychology,Part-time,8.33,6.2,2.5,6.9,2,5.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.75,2.0,3.4,3.0,1.25
107,Female,20,1,Applied Psychology,Part-time,8.69,5.1,1.3,6.8,3,5.0,2.0,5.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,4.75,2.8333333333333335,4.6,3.8,2.25
108,Female,21,2,Applied Psychology,Part-time,8.5,6.5,2.4,6.9,4,2.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.25,2.8333333333333335,3.6,1.8,2.75
109,Female,20,5,Applied Psychology,Not employed,8.09,4.6,4.1,5.8,3,5.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,5.0,5.0,5.0,1.0,4.0,2.0,3.75,4.666666666666667,1.8,1.6,5.0
110,Male,21,1,Applied Psychology,Not employed,8.44,4.2,2.7,7.2,2,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,,2.0,2.0,3.0,3.5,1.6,3.8,2.6,2.6666666666666665
111,Male,21,3,Applied Psychology,Part-time,6.78,7.0,3.1,7.6,4,1.0,3.0,1.0,3.0,3.0,,3.0,4.0,3.0,,4.0,4.0,2.0,3.0,3.0,4.0,,4.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,3.25,3.2,4.25,2.0
112,Female,23,1,Applied Psychology,Not employed,7.92,5.7,2.5,7.1,3,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.25,3.5,2.0,3.2,3.0
113,Female,21,2,Applied Psychology,Not employed,9.17,4.6,1.3,7.6,0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.6666666666666665,3.6,4.0,2.75
114,Female,20,1,Psychology,Part-time,7.94,5.7,2.8,6.7,5,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,,4.0,2.5,4.166666666666667,3.4,3.75,3.25
115,Female,18,1,Applied Psychology,Not employed,7.21,5.0,2.8,8.5,3,5.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.25,3.1666666666666665,4.2,2.6,2.75
116,Male,21,3,Applied Psychology,Full-time,7.49,4.1,1.4,8.2,0,1.0,5.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.3333333333333335,2.2,2.0,2.5
117,Female,21,5,Psychology,Part-time,7.34,3.4,2.5,7.8,2,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,,2.75,1.8333333333333333,1.8,4.4,2.25
118,Female,18,2,Psychology,Not employed,6.95,4.1,3.6,8.2,4,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,5.0,2.75,2.6666666666666665,3.4,4.6,3.25
119,Female,20,5,Social Sciences,Part-time,7.76,5.7,4.1,6.9,0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,4.75,3.6666666666666665,1.2,2.4,3.75
120,Male,23,5,Applied Psychology,Part-time,7.29,6.4,3.3,6.0,2,3.0,2.0,5.0,2.0,,4.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.2,3.6,2.4,3.75
121,Female,23,3,Applied Psychology,Not employed,7.8,4.1,2.4,5.5,2,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,1.6666666666666667,3.4,3.4,2.5
122,Female,23,3,Applied Psychology,Not employed,7.58,6.9,3.0,5.5,4,,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.4,3.25
123,Female,22,1,Psychology,Part-time,7.22,8.1,3.4,6.5,4,5.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.8333333333333335,3.25,2.8,3.25
124,Female,18,2,Psychology,Not employed,7.55,8.4,3.5,6.9,2,3.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.5,3.2,3.0,3.5
125,Female,18,3,Psychology,Part-time,8.01,3.8,2.0,6.3,3,5.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.8,2.25,4.0
126,Male,27,2,Applied Psychology,Part-time,8.21,4.4,0.9,7.1,3,2.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.5,2.6666666666666665,3.8,2.2,2.0
127,Prefer not to say,20,2,Applied Psychology,Part-time,8.19,4.2,1.5,8.1,6,3.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,2.0,,5.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,1.75,1.5,3.5,4.4,2.5
128,Male,22,5,Applied Psychology,Not employed,7.79,4.4,0.2,7.0,0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,,3.25,2.0,1.8,2.2,3.75
129,Male,18,1,Applied Psychology,Not employed,7.86,5.5,3.3,6.7,4,2.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,,1.0,3.5,2.0,2.2,1.2,3.5
130,Female,22,1,Psychology,Not employed,7.37,8.4,2.0,7.5,2,5.0,4.0,5.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,4.25,2.6666666666666665,2.8,1.0,2.5
131,Male,20,3,Applied Psychology,Not employed,8.91,3.9,2.6,7.9,0,1.0,4.0,1.0,5.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,1.25,2.3333333333333335,3.6,4.8,2.25
132,Female,19,2,Psychology,Not employed,9.1,5.8,2.8,8.5,3,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,,4.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,3.0,5.0,1.25,1.3333333333333333,4.4,4.75,1.5
133,Female,21,1,Applied Psychology,Full-time,8.14,6.2,3.6,7.1,3,4.0,1.0,5.0,1.0,3.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,,1.0,1.0,1.0,4.75,3.5,1.0,1.0,5.0
134,Female,21,2,Psychology,Part-time,8.36,6.5,2.8,6.4,3,5.0,1.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,4.25,4.666666666666667,1.4,2.0,4.5
135,Male,21,1,Applied Psychology,Not employed,8.9,4.1,1.8,7.6,4,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,5.0,2.75,3.8333333333333335,4.0,4.4,1.5
136,Female,22,4,Psychology,Full-time,7.71,7.8,3.1,6.3,0,5.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0,4.25,4.333333333333333,2.4,1.8,3.75
137,Male,24,4,Psychology,Full-time,8.92,7.9,3.0,6.5,1,3.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,2.0,3.0,1.0,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.5,2.0,2.2,3.75
138,Female,22,1,Applied Psychology,Not employed,8.28,5.4,1.8,8.0,2,2.0,5.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,1.5,2.6666666666666665,1.8,2.6,3.0
139,Female,23,5,Applied Psychology,Not employed,8.46,4.1,1.6,8.1,2,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,,2.0,4.0,4.0,1.75,1.1666666666666667,2.4,4.2,1.6666666666666667
140,Female,22,2,Social Sciences,Part-time,7.23,4.1,3.7,7.9,1,2.0,2.0,1.0,5.0,5.0,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.6,3.0,1.5
141,Prefer not to say,24,5,Applied Psychology,Part-time,8.2,5.3,3.0,6.2,2,4.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,3.75,3.8333333333333335,3.6,3.0,3.5
142,Male,20,1,Applied Psychology,Part-time,8.39,4.9,2.6,6.5,3,3.0,3.0,4.0,,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.3333333333333335,3.8333333333333335,5.0,3.0,3.25
143,Female,22,4,Applied Psychology,Not employed,7.56,5.7,3.8,8.7,2,2.0,3.0,3.0,4.0,4.0,,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.5,4.4,3.4,4.2,3.25
144,Female,20,4,Applied Psychology,Not employed,9.4,3.3,2.2,8.6,2,1.0,4.0,1.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.75,3.0,2.8,2.8,2.75
145,Female,21,3,Psychology,Not employed,8.44,8.1,2.6,5.8,1,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.666666666666667,3.4,3.75,4.5
146,Male,22,5,Applied Psychology,Not employed,8.07,5.3,2.2,6.2,3,5.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,,,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.75,2.5,3.0,3.3333333333333335,4.0
147,Male,19,3,Psychology,Not employed,9.27,5.8,1.2,6.4,3,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0,3.25,3.1666666666666665,4.2,2.0,1.75
148,Male,23,1,Applied Psychology,Not employed,7.52,5.7,2.7,7.9,2,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.3333333333333335,3.8,2.4,1.5
149,Female,26,3,Psychology,Not employed,8.01,5.9,2.3,5.4,2,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,3.5,4.0,4.2,3.2,3.0
150,Male,25,2,Applied Psychology,Not employed,7.58,4.4,3.6,7.2,5,3.0,3.0,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.6666666666666665,1.8333333333333333,3.6,3.4,2.75
151,Male,20,1,Applied Psychology,Not employed,8.66,4.9,2.7,7.3,2,1.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,5.0,2.0,3.5,4.8,3.8,2.5
152,Female,22,4,Social Sciences,Not employed,8.16,5.8,2.5,7.2,3,5.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0,4.5,3.5,1.2,1.6,4.75
153,Female,22,1,Applied Psychology,Part-time,8.21,5.4,3.3,5.5,0,3.0,2.0,5.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0,3.5,3.0,2.0,1.2,4.25
154,Female,22,5,Applied Psychology,Not employed,8.66,2.9,1.9,7.8,4,2.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,4.8,4.5,2.0
155,Male,21,2,Applied Psychology,Not employed,9.23,5.2,2.3,7.4,1,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,,1.75,1.5,3.8,4.4,1.0
156,Female,22,4,Psychology,Not employed,8.26,6.7,4.6,7.1,2,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.8333333333333335,3.6,2.25,2.25
157,Male,26,5,Applied Psychology,Not employed,7.17,5.7,3.3,7.5,4,3.0,3.0,2.0,3.0,5.0,5.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,2.75,3.5,2.0,3.4,3.25
158,Male,23,4,Social Sciences,Not employed,7.43,4.8,1.3,8.1,0,4.0,1.0,5.0,,2.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0,4.666666666666667,3.1666666666666665,1.6,1.8,4.75
159,Female,21,5,Applied Psychology,Not employed,8.03,8.3,2.9,5.1,3,3.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,,,1.0,4.0,1.0,4.25,4.833333333333333,2.4,1.4,4.0
