id,gender,age,study_year,program,employment_status,average_grade,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_days_week,pss_1_overwhelmed,pss_2_control_reverse,pss_3_nervous,pss_4_confident_reverse,ds_1_notifications,ds_2_pressure_reply,ds_3_information_overload,ds_4_multitasking,ds_5_sleep_disruption,ds_6_online_comparison,ams_1_enjoy_learning,ams_2_effort,ams_3_career_relevance,ams_4_persistence,ams_5_interest,who_1_cheerful,who_2_calm,who_3_active,who_4_rested,who_5_interested,ea_1_worry,ea_2_tension,ea_3_avoidance,ea_4_concentration_difficulty,academic_satisfaction,research_methods_confidence,help_seeking_intention
92,Male,20,2,Psychology,Not employed,8.45,6.5,3.8,6.3,2,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,5.0
93,Male,21,5,Applied Psychology,Not employed,7.62,4.3,2.2,8.3,2,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0
94,Prefer not to say,20,2,Applied Psychology,Not employed,8.79,3.7,1.4,7.2,2,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0
95,Female,22,3,Applied Psychology,Part-time,8.84,4.2,2.7,8.0,4,2.0,4.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,,,4.0,1.0,2.0
96,Female,21,2,Psychology,Not employed,7.01,6.5,3.6,6.5,1,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,5.0,5.0,1.0,2.0,1.0
97,Male,23,4,Applied Psychology,Not employed,6.89,2.9,2.2,6.5,1,4.0,1.0,5.0,3.0,3.0,2.0,3.0,,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0
98,Male,18,2,Applied Psychology,Part-time,7.84,5.4,3.3,6.8,4,4.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0
99,Male,22,5,Psychology,Full-time,7.88,3.7,1.2,7.3,4,1.0,5.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0
100,Male,23,2,Psychology,Part-time,7.46,4.9,0.5,8.0,3,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0
101,Male,23,1,Psychology,Not employed,8.46,5.6,0.3,8.9,3,,5.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0
102,Female,23,1,Applied Psychology,Not employed,7.49,5.5,3.2,6.4,3,1.0,4.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0
103,Male,21,2,Applied Psychology,Not employed,7.45,1.9,0.3,8.1,3,4.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,1.0,,5.0,3.0,4.0
104,Female,18,1,Social Sciences,Full-time,7.22,6.5,3.2,7.2,2,3.0,5.0,2.0,5.0,3.0,2.0,,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,,1.0,3.0,3.0,4.0,2.0,2.0
105,Female,23,3,Applied Psychology,Not employed,8.78,3.6,2.9,5.3,4,4.0,3.0,2.0,,4.0,2.0,3.0,,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0
106,Female,23,4,Applied Psychology,Part-time,8.33,6.2,2.5,6.9,2,5.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0
107,Female,20,1,Applied Psychology,Part-time,8.69,5.1,1.3,6.8,3,5.0,2.0,5.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0
108,Female,21,2,Applied Psychology,Part-time,8.5,6.5,2.4,6.9,4,2.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0
109,Female,20,5,Applied Psychology,Not employed,8.09,4.6,4.1,5.8,3,5.0,2.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,5.0,5.0,5.0,1.0,4.0,2.0
110,Male,21,1,Applied Psychology,Not employed,8.44,4.2,2.7,7.2,2,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,,4.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,,2.0,2.0,3.0
111,Male,21,3,Applied Psychology,Part-time,6.78,7.0,3.1,7.6,4,1.0,3.0,1.0,3.0,3.0,,3.0,4.0,3.0,,4.0,4.0,2.0,3.0,3.0,4.0,,4.0,4.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0
112,Female,23,1,Applied Psychology,Not employed,7.92,5.7,2.5,7.1,3,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0
113,Female,21,2,Applied Psychology,Not employed,9.17,4.6,1.3,7.6,0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0
114,Female,20,1,Psychology,Part-time,7.94,5.7,2.8,6.7,5,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,,4.0
115,Female,18,1,Applied Psychology,Not employed,7.21,5.0,2.8,8.5,3,5.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0
116,Male,21,3,Applied Psychology,Full-time,7.49,4.1,1.4,8.2,0,1.0,5.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
117,Female,21,5,Psychology,Part-time,7.34,3.4,2.5,7.8,2,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,
118,Female,18,2,Psychology,Not employed,6.95,4.1,3.6,8.2,4,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,5.0
119,Female,20,5,Social Sciences,Part-time,7.76,5.7,4.1,6.9,0,5.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0
120,Male,23,5,Applied Psychology,Part-time,7.29,6.4,3.3,6.0,2,3.0,2.0,5.0,2.0,,4.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0
121,Female,23,3,Applied Psychology,Not employed,7.8,4.1,2.4,5.5,2,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0
122,Female,23,3,Applied Psychology,Not employed,7.58,6.9,3.0,5.5,4,,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0
123,Female,22,1,Psychology,Part-time,7.22,8.1,3.4,6.5,4,5.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,5.0,,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0
124,Female,18,2,Psychology,Not employed,7.55,8.4,3.5,6.9,2,3.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,,4.0,4.0,2.0,4.0,4.0,3.0,4.0
125,Female,18,3,Psychology,Part-time,8.01,3.8,2.0,6.3,3,5.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0
126,Male,27,2,Applied Psychology,Part-time,8.21,4.4,0.9,7.1,3,2.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
127,Prefer not to say,20,2,Applied Psychology,Part-time,8.19,4.2,1.5,8.1,6,3.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,2.0,,5.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0
128,Male,22,5,Applied Psychology,Not employed,7.79,4.4,0.2,7.0,0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,
129,Male,18,1,Applied Psychology,Not employed,7.86,5.5,3.3,6.7,4,2.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,,1.0
130,Female,22,1,Psychology,Not employed,7.37,8.4,2.0,7.5,2,5.0,4.0,5.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0
131,Male,20,3,Applied Psychology,Not employed,8.91,3.9,2.6,7.9,0,1.0,4.0,1.0,5.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0
132,Female,19,2,Psychology,Not employed,9.1,5.8,2.8,8.5,3,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,,4.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,3.0,5.0
133,Female,21,1,Applied Psychology,Full-time,8.14,6.2,3.6,7.1,3,4.0,1.0,5.0,1.0,3.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,,1.0,1.0,1.0
134,Female,21,2,Psychology,Part-time,8.36,6.5,2.8,6.4,3,5.0,1.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0
135,Male,21,1,Applied Psychology,Not employed,8.9,4.1,1.8,7.6,4,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,5.0
136,Female,22,4,Psychology,Full-time,7.71,7.8,3.1,6.3,0,5.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0
137,Male,24,4,Psychology,Full-time,8.92,7.9,3.0,6.5,1,3.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,2.0,3.0,1.0,,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0
138,Female,22,1,Applied Psychology,Not employed,8.28,5.4,1.8,8.0,2,2.0,5.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0
139,Female,23,5,Applied Psychology,Not employed,8.46,4.1,1.6,8.1,2,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,,2.0,4.0,4.0
140,Female,22,2,Social Sciences,Part-time,7.23,4.1,3.7,7.9,1,2.0,2.0,1.0,5.0,5.0,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0
141,Prefer not to say,24,5,Applied Psychology,Part-time,8.2,5.3,3.0,6.2,2,4.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0
142,Male,20,1,Applied Psychology,Part-time,8.39,4.9,2.6,6.5,3,3.0,3.0,4.0,,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0
143,Female,22,4,Applied Psychology,Not employed,7.56,5.7,3.8,8.7,2,2.0,3.0,3.0,4.0,4.0,,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0
144,Female,20,4,Applied Psychology,Not employed,9.4,3.3,2.2,8.6,2,1.0,4.0,1.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
145,Female,21,3,Psychology,Not employed,8.44,8.1,2.6,5.8,1,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0
146,Male,22,5,Applied Psychology,Not employed,8.07,5.3,2.2,6.2,3,5.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,,,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0
147,Male,19,3,Psychology,Not employed,9.27,5.8,1.2,6.4,3,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,3.0
148,Male,23,1,Applied Psychology,Not employed,7.52,5.7,2.7,7.9,2,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0
149,Female,26,3,Psychology,Not employed,8.01,5.9,2.3,5.4,2,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0
150,Male,25,2,Applied Psychology,Not employed,7.58,4.4,3.6,7.2,5,3.0,3.0,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0
151,Male,20,1,Applied Psychology,Not employed,8.66,4.9,2.7,7.3,2,1.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,5.0
152,Female,22,4,Social Sciences,Not employed,8.16,5.8,2.5,7.2,3,5.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,2.0,2.0
153,Female,22,1,Applied Psychology,Part-time,8.21,5.4,3.3,5.5,0,3.0,2.0,5.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,3.0,4.0,2.0,3.0,1.0
154,Female,22,5,Applied Psychology,Not employed,8.66,2.9,1.9,7.8,4,2.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0
155,Male,21,2,Applied Psychology,Not employed,9.23,5.2,2.3,7.4,1,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,
156,Female,22,4,Psychology,Not employed,8.26,6.7,4.6,7.1,2,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,,1.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0
157,Male,26,5,Applied Psychology,Not employed,7.17,5.7,3.3,7.5,4,3.0,3.0,2.0,3.0,5.0,5.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0
158,Male,23,4,Social Sciences,Not employed,7.43,4.8,1.3,8.1,0,4.0,1.0,5.0,,2.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,4.0,1.0
159,Female,21,5,Applied Psychology,Not employed,8.03,8.3,2.9,5.1,3,3.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,,,1.0,4.0,1.0
160,Male,24,1,Applied Psychology,Part-time,7.1,5.7,3.3,6.5,2,4.0,1.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,5.0,1.0,3.0,3.0
161,Female,23,1,Social Sciences,Not employed,8.13,4.6,3.4,5.2,1,5.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,
162,Female,22,4,Psychology,Full-time,7.71,6.9,2.8,7.3,1,5.0,,4.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0
163,Female,18,2,Social Sciences,Full-time,8.35,6.9,2.7,7.0,1,1.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,,2.0,1.0,4.0,4.0,3.0
164,Male,23,4,Applied Psychology,Full-time,7.48,6.7,2.3,6.7,2,2.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0
165,Male,24,3,Social Sciences,Not employed,8.27,6.1,2.5,6.1,2,3.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,4.0,2.0,,2.0
166,Female,29,5,Psychology,Part-time,7.43,2.3,0.6,6.4,3,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0
167,Female,26,5,Applied Psychology,Not employed,8.24,7.1,2.0,6.3,2,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0
168,Male,23,5,Psychology,Full-time,8.47,3.2,1.2,8.4,4,1.0,5.0,2.0,4.0,3.0,2.0,,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0
169,Male,20,2,Applied Psychology,Not employed,7.38,6.6,2.0,7.2,3,3.0,2.0,3.0,,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0
170,Female,19,5,Psychology,Not employed,8.99,7.0,2.0,8.4,1,3.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0
171,Female,22,1,Applied Psychology,Not employed,6.45,4.6,2.2,7.7,2,5.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0
172,Male,24,5,Applied Psychology,Not employed,7.83,4.8,4.0,7.2,1,4.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,1.0
173,Male,21,2,Applied Psychology,Not employed,7.66,8.7,5.7,5.9,1,5.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,2.0,1.0
174,Female,21,2,Applied Psychology,Part-time,8.89,3.2,4.1,7.8,2,1.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,,5.0
175,Female,20,2,Applied Psychology,Not employed,7.22,7.7,2.2,5.7,0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0
176,Female,19,2,Social Sciences,Part-time,9.1,5.6,2.6,6.8,1,4.0,4.0,4.0,4.0,4.0,3.0,2.0,,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0
177,Female,23,3,Psychology,Not employed,7.27,7.3,2.5,7.4,2,4.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0
178,Female,27,5,Psychology,Part-time,8.36,7.4,3.5,7.0,2,3.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0
179,Female,23,1,Social Sciences,Part-time,7.39,7.2,3.1,7.4,1,5.0,1.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0
180,Female,21,3,Psychology,Not employed,7.54,4.7,4.1,9.2,4,1.0,5.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,,3.0,4.0,4.0,4.0
181,Female,22,3,Applied Psychology,Not employed,7.61,5.5,4.0,6.5,2,5.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
182,Female,23,4,Applied Psychology,Not employed,8.24,5.3,3.3,7.5,1,2.0,3.0,3.0,4.0,,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
183,Female,18,3,Applied Psychology,Not employed,8.75,3.3,2.4,7.5,6,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,2.0,5.0
184,Female,19,5,Applied Psychology,Not employed,8.7,5.7,3.8,7.1,1,5.0,2.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0
185,Male,18,2,Applied Psychology,Not employed,7.54,4.0,3.7,7.8,1,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0
